Date,Col1,region,load MW,Lubbock_Preston_Smith_International_Airport_Station_avg_dew_point,Lubbock_Preston_Smith_International_Airport_Station_avg_temperature_f,Lubbock_Preston_Smith_International_Airport_Station_avg_humidity_percent,Lubbock_Preston_Smith_International_Airport_Station_avg_wind_speed_mph,Lubbock_Preston_Smith_International_Airport_Station_avg_wind_gust_mph,Lubbock_Preston_Smith_International_Airport_Station_avg_pressure,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_dew_point,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_temperature_f,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_humidity_percent,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_wind_speed_mph,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_wind_gust_mph,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_pressure
2021-12-27 00:00:00,0.0,NORTH,784.76,28.0,49.0,44.0,10.0,0.0,26.48,42.0,68.0,39.0,13.0,0.0,28.69
2021-12-27 01:00:00,1.0,NORTH,739.28,27.0,45.0,49.0,9.0,0.0,26.47,42.0,63.0,46.0,12.0,0.0,28.69
2021-12-27 02:00:00,2.0,NORTH,714.15,26.0,45.0,48.0,7.0,0.0,26.47,38.0,66.0,36.0,13.0,0.0,28.69
2021-12-27 03:00:00,3.0,NORTH,1407.02,25.0,41.0,53.0,6.0,0.0,26.48,38.0,61.5,42.0,10.0,0.0,28.72
2021-12-27 04:00:00,4.0,NORTH,698.44,24.0,41.0,51.0,5.0,0.0,26.47,37.0,53.0,55.0,7.0,0.0,28.74
2021-12-27 05:00:00,5.0,NORTH,713.24,23.0,40.5,50.0,5.0,0.0,26.48,36.5,53.5,53.0,5.0,0.0,28.76
2021-12-27 06:00:00,6.0,NORTH,728.03,22.0,40.0,49.0,5.0,0.0,26.5,36.0,54.0,51.0,3.0,0.0,28.77
2021-12-27 07:00:00,7.0,NORTH,769.22,21.0,40.0,47.0,7.0,0.0,26.51,33.0,59.0,38.0,3.0,0.0,28.78
2021-12-27 08:00:00,8.0,NORTH,809.24,21.0,42.0,43.0,7.0,0.0,26.52,37.0,56.0,49.0,8.0,0.0,28.81
2021-12-27 09:00:00,9.0,NORTH,837.91,21.0,53.0,29.0,5.0,0.0,26.56,28.0,59.0,31.0,12.0,0.0,28.82
2021-12-27 10:00:00,10.0,NORTH,858.35,21.0,56.0,26.0,6.0,0.0,26.55,26.0,60.0,27.0,17.0,0.0,28.82
2021-12-27 11:00:00,11.0,NORTH,876.95,22.0,55.0,28.0,8.0,0.0,26.53,27.0,62.0,26.0,14.0,0.0,28.81
2021-12-27 12:00:00,12.0,NORTH,890.72,19.0,57.0,23.0,8.0,0.0,26.51,25.0,64.0,23.0,13.0,0.0,28.77
