,Date,region,load MW,Lubbock_Preston_Smith_International_Airport_Station_avg_dew_point,Lubbock_Preston_Smith_International_Airport_Station_avg_temperature_f,Lubbock_Preston_Smith_International_Airport_Station_avg_humidity_percent,Lubbock_Preston_Smith_International_Airport_Station_avg_wind_speed_mph,Lubbock_Preston_Smith_International_Airport_Station_avg_wind_gust_mph,Lubbock_Preston_Smith_International_Airport_Station_avg_pressure,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_dew_point,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_temperature_f,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_humidity_percent,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_wind_speed_mph,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_wind_gust_mph,Wichita_Falls_Municipal_Airport_Sheppard_Air_Force_Base_Station_avg_pressure
0,2021-12-27 00:00:00,NORTH,784.756522,28.0,49.0,44.0,10.0,0.0,26.48,42.0,68.0,39.0,13.0,0.0,28.69
1,2021-12-27 01:00:00,NORTH,739.275464,27.0,45.0,49.0,9.0,0.0,26.47,42.0,63.0,46.0,12.0,0.0,28.69
2,2021-12-27 02:00:00,NORTH,714.148198,26.0,45.0,48.0,7.0,0.0,26.47,38.0,66.0,36.0,13.0,0.0,28.69
3,2021-12-27 03:00:00,NORTH,1407.021546,25.0,41.0,53.0,6.0,0.0,26.48,38.0,61.5,42.0,10.0,0.0,28.715
4,2021-12-27 04:00:00,NORTH,698.43654,24.0,41.0,51.0,5.0,0.0,26.47,37.0,53.0,55.0,7.0,0.0,28.74
6,2021-12-27 06:00:00,NORTH,728.034163,22.0,40.0,49.0,5.0,0.0,26.5,36.0,54.0,51.0,3.0,0.0,28.77
7,2021-12-27 07:00:00,NORTH,769.219434,21.0,40.0,47.0,7.0,0.0,26.51,33.0,59.0,38.0,3.0,0.0,28.78
8,2021-12-27 08:00:00,NORTH,809.235362,21.0,42.0,43.0,7.0,0.0,26.52,37.0,56.0,49.0,8.0,0.0,28.81
9,2021-12-27 09:00:00,NORTH,837.905993,21.0,53.0,29.0,5.0,0.0,26.56,28.0,59.0,31.0,12.0,0.0,28.82
10,2021-12-27 10:00:00,NORTH,858.349021,21.0,56.0,26.0,6.0,0.0,26.55,26.0,60.0,27.0,17.0,0.0,28.82
11,2021-12-27 11:00:00,NORTH,876.945829,22.0,55.0,28.0,8.0,0.0,26.53,27.0,62.0,26.0,14.0,0.0,28.81
12,2021-12-27 12:00:00,NORTH,890.716334,19.0,57.0,23.0,8.0,0.0,26.51,25.0,64.0,23.0,13.0,0.0,28.77
13,2021-12-27 13:00:00,NORTH,898.205028,19.0,60.0,20.0,10.0,0.0,26.47,25.0,67.0,21.0,9.0,0.0,28.74
14,2021-12-27 14:00:00,NORTH,909.608053,23.0,60.0,24.0,13.0,0.0,26.45,25.0,66.0,21.0,10.0,0.0,28.73
15,2021-12-27 15:00:00,NORTH,917.208916,23.0,61.0,23.0,10.0,0.0,26.42,25.0,67.0,21.0,9.0,0.0,28.72
16,2021-12-27 16:00:00,NORTH,914.334848,23.0,61.0,23.0,8.0,0.0,26.4,25.0,63.0,24.0,8.0,0.0,28.71
17,2021-12-27 17:00:00,NORTH,906.197033,23.0,55.0,29.0,7.0,0.0,26.37,30.0,57.0,36.0,6.0,0.0,28.69
18,2021-12-27 18:00:00,NORTH,928.486768,26.0,56.0,32.0,13.0,0.0,26.37,29.0,55.0,37.0,9.0,0.0,28.65
19,2021-12-27 19:00:00,NORTH,954.836776,28.0,56.0,34.0,12.0,0.0,26.35,30.0,52.0,43.0,7.0,0.0,28.64
20,2021-12-27 20:00:00,NORTH,937.637044,31.0,54.0,41.0,10.0,0.0,26.35,30.0,50.0,46.0,8.0,0.0,28.61
21,2021-12-27 21:00:00,NORTH,913.864411,25.0,54.0,33.0,15.0,0.0,26.32,32.0,49.0,52.0,6.0,0.0,28.59
22,2021-12-27 22:00:00,NORTH,880.226612,25.0,53.0,34.0,12.0,0.0,26.31,34.0,50.0,54.0,6.0,0.0,28.57
23,2021-12-27 23:00:00,NORTH,842.738568,31.0,54.0,41.0,3.0,0.0,26.29,35.0,50.0,57.0,0.0,0.0,28.53
24,2021-12-28 00:00:00,NORTH,801.141827,32.0,55.0,42.0,3.0,0.0,26.29,36.0,50.0,59.0,5.0,0.0,28.51
25,2021-12-28 01:00:00,NORTH,768.350948,32.0,54.0,43.0,3.0,0.0,26.29,39.0,52.0,61.0,3.0,0.0,28.49
26,2021-12-28 02:00:00,NORTH,745.568117,33.0,58.0,39.0,23.0,31.0,26.29,42.0,51.0,71.0,6.0,0.0,28.5
27,2021-12-28 03:00:00,NORTH,737.298686,32.0,59.0,36.0,14.0,0.0,26.29,40.0,51.0,66.0,7.0,0.0,28.52
28,2021-12-28 04:00:00,NORTH,736.259424,33.0,57.0,40.0,18.0,0.0,26.28,37.0,53.0,55.0,8.0,0.0,28.55
