date,ERCOT,san_visibility,dallas_dewPoint,dallas_humidity,dallas_pressure,dallas_temp
2018-07-03 01:00:00,48200.06,10,60.01,vr,1010.4,a
2018-07-03 02:00:00,45222.51,10,,h,1011.12,b
2018-07-03 03:00:00,44366.51,,62,repeated,1011.85,c
2018-07-03 04:00:00,43510.52,9.75,63.28,repeated,1012.58,sad
2018-07-03 05:00:00,42654.52,9.5,64.55,repeated,1013.3,e
2018-07-03 06:00:00,,9.25,65.83,fhr,1013.4,f
2018-07-03 07:00:00,,9.01,66.72,repeated,1013.15,g
2018-07-03 08:00:00,44000.03,8.76,67.62,cv,1012.9,h
2018-07-03 09:00:00,46794.64,9.95,68.13,repeated,1013.09,I
2018-07-03 10:00:00,50755.68,9.95,68.63,repeated,1013.27,j
2018-07-03 11:00:00,54716.73,9.96,,,1013.46,k
2018-07-03 12:00:00,58869.92,9.91,,,1013.64,l
2018-07-03 13:00:00,62447.4,9.86,,,1013.83,m
2018-07-03 14:00:00,65757.84,9.98,70.39,gh,1014.01,n
2018-07-03 15:00:00,68244.74,9.21,70.05,vr,1014.2,o
2018-07-03 16:00:00,69414.3,10,69.43,h,,p
2018-07-03 17:00:00,69657.34,9.08,66.35,r,,q
2018-07-03 18:00:00,69517.95,9.98,64.18,rhrg,1013.4,r
2018-07-04 19:00:00,68576.71,1,61.58,,1012.9,s
2018-07-03 20:00:00,66203.4,2,59.97,fhr,1012.1,t
2018-07-03 21:00:00,62791.5,3,58.23,ry,1011.2,u
2018-07-03 22:00:00,59469.68,,56.13,cv,1010.4,v
2018-07-04 23:00:00,55160.92,,55.09,aws,1010.2,w
2018-07-04 24:00:00,55161.92,,56.09,aws,1011.2,x
2018-07-04 01:00:00,48200.06,7,60.01,vr,1010.4,y
2018-07-04 02:00:00,45222.51,8,,h,1011.12,z
2018-07-04 03:00:00,44366.51,,62,repeated,1011.85,aa
2018-07-04 04:00:00,43510.52,9.75,63.28,repeated,1012.58,bb
2018-07-04 05:00:00,42654.52,9.5,64.55,repeated,1013.3,qq
2018-07-04 06:00:00,,9.25,65.83,fhr,1013.4,ww
2018-07-04 07:00:00,,9.01,66.72,repeated,1013.15,ee
2018-07-04 08:00:00,44000.03,8.76,67.62,cv,1012.9,rr
2018-07-04 09:00:00,46794.64,9.95,68.13,repeated,1013.09,tt
2018-07-04 10:00:00,50755.68,9.95,68.63,repeated,1013.27,yy
2018-07-04 11:00:00,54716.73,9.96,,repeated,1013.46,uu
2018-07-04 12:00:00,58869.92,9.91,,,1013.64,ii
2018-07-04 13:00:00,62447.4,9.86,,,1013.83,oo
2018-07-04 14:00:00,65757.84,9.98,70.39,gh,1014.01,pp
2018-07-04 15:00:00,68244.74,9.21,70.05,vr,1014.2,aa
2018-07-04 17:00:00,69657.34,9.08,66.35,r,,ss
2018-07-04 18:00:00,69517.95,9.98,64.18,rhrg,1013.4,dd
2018-07-03 19:00:00,68576.71,10,61.58,,1012.9,ff
2018-07-04 20:00:00,66203.4,10,59.97,fhr,1012.1,gg
2018-07-04 21:00:00,62791.5,10,58.23,ry,1011.2,hh
2018-07-04 22:00:00,59469.68,10,56.13,cv,1010.4,jj
2018-07-03 23:00:00,55160.92,10,55.09,aws,1010.2,kk
2018-07-03 24:00:00,55161.92,11,56.09,aws,1011.2,ll
2018-07-05 01:00:00,59469.68,10,56.13,cv,1010.4,zz
2018-07-05 02:00:00,55160.92,10,55.09,aws,1010.2,xx
2018-07-05 03:00:00,55161.92,11,56.09,aws,1011.2,cc
